soc_code,onet_soc_code,occupation_title,software_or_tool,software_category,hot_technology,in_demand,rank
47-2142,47-2142.00,Paperhangers,Microsoft Excel,Spreadsheet software,Y,N,2
47-2142,47-2142.00,Paperhangers,Microsoft Word,Word processing software,Y,N,3
47-2142,47-2142.00,Paperhangers,A-Systems JobView,Accounting software,N,N,4
47-2142,47-2142.00,Paperhangers,Construction Software Center EasyEst,Project management software,N,N,5
47-2142,47-2142.00,Paperhangers,Corel Painter,Graphics or photo imaging software,N,N,6
47-2142,47-2142.00,Paperhangers,Electronic data interchange EDI software,Enterprise application integration software,N,N,7
47-2142,47-2142.00,Paperhangers,On Center Quick Bid,Project management software,N,N,8
47-2142,47-2142.00,Paperhangers,PlanSwift,Project management software,N,N,9
47-2142,47-2142.00,Paperhangers,Turtle Creek Software Goldenseal,Accounting software,N,N,10
47-2151,47-2151.00,Pipelayers,Microsoft Excel,Spreadsheet software,Y,N,1
47-2151,47-2151.00,Pipelayers,Microsoft Office software,Office suite software,Y,N,2
47-2152,47-2152.04,Solar Thermal Installers and Technicians,Microsoft Office software,Office suite software,Y,Y,1
47-2152,47-2152.04,Solar Thermal Installers and Technicians,Adobe Photoshop,Graphics or photo imaging software,Y,N,2
47-2152,47-2152.04,Solar Thermal Installers and Technicians,Autodesk AutoCAD,Computer aided design CAD software,Y,N,3
47-2152,47-2152.04,Solar Thermal Installers and Technicians,Dassault Systemes SolidWorks,Computer aided design CAD software,Y,N,4
47-2152,47-2152.00,"Plumbers, Pipefitters, and Steamfitters",Intuit QuickBooks,Accounting software,Y,N,5
47-2152,47-2152.00,"Plumbers, Pipefitters, and Steamfitters",Microsoft Active Server Pages ASP,Web platform development software,Y,N,6
